	(1)	(2)	(3)	(4)	(5)	(6)
	R1	R2	R3	R4	R5	R6
VARIABLES	lnPremium	lnPremium	lnPremium	lnPremium	lnPremium	lnPremium
						
DOfPlan2	-0.0167	-0.0103	0.0129	0.0183	-0.0229	0.0139
	(0.0508)	(0.0597)	(0.0511)	(0.0478)	(0.0446)	(0.0593)
DOfPlan3	0.0290	0.0585	0.0785	0.128**	0.0795**	0.133***
	(0.0808)	(0.0699)	(0.0519)	(0.0528)	(0.0326)	(0.0358)
DOfPlan4	0.0690	0.117*	0.148***	0.199***	0.112**	0.191***
	(0.0660)	(0.0617)	(0.0496)	(0.0647)	(0.0522)	(0.0684)
DOfPlan5	0.177**	0.147**	0.0960*	0.320***	0.154***	0.152*
	(0.0871)	(0.0593)	(0.0551)	(0.0861)	(0.0531)	(0.0764)
_Ibtypedeta_2		-0.370***	-0.213**		0.365***	0.363***
		(0.0934)	(0.102)		(0.0587)	(0.0767)
_Ibtypedeta_3		-0.376	-0.354		-0.751***	-0.685**
		(0.241)	(0.228)		(0.269)	(0.300)
o._Ibtypedeta_4		-	-		-	-
						
_Iyear_2007		-0.205*	-0.131	0.0836**	-0.111	-0.132
		(0.115)	(0.104)	(0.0399)	(0.149)	(0.147)
_Iyear_2008		-0.138**	-0.151***		0.0742	0.0210
		(0.0546)	(0.0551)		(0.0667)	(0.0863)
_Iyear_2009		0.0428	0.00764		0.110	0.0624
		(0.0896)	(0.0939)		(0.0840)	(0.111)
_Iyear_2010		0.0918	0.158*		0.135**	0.151**
		(0.111)	(0.0880)		(0.0577)	(0.0654)
_IbtyXyea_2_2007			0.210		0.0727	0.0668
			(0.181)			(26,126)
_IbtyXyea_2_2008		0.837***	0.281**		0.330***	0.183
		(0.110)	(0.108)		(0.0780)	(0.112)
_IbtyXyea_2_2009		0.595***	0.382***			-0.141
		(0.108)	(0.135)			(0.134)
_IbtyXyea_2_2010		0.113	0.606***		0.109	-0.326**
		(0.0957)	(0.124)		(0.0687)	(0.133)
_IbtyXyea_3_2007		0.580***	0.337		0.573**	0.605***
		(0.194)	(0.212)		(0.236)	(0.215)
_IbtyXyea_3_2008		0.563**	0.542**		0.757**	0.784**
		(0.261)	(0.242)		(0.290)	(0.298)
_IbtyXyea_3_2009		0.525**	0.547**		0.739***	0.677***
		(0.251)	(0.221)		(0.230)	(0.253)
_IbtyXyea_3_2010		0.399	0.209		0.783***	0.603**
		(0.243)	(0.239)		(0.269)	(0.273)
o._IbtyXyea_4_2007		-	-		-	-
						
